reservorio,anio,mes,agua_ha,cobertura_valida,n_escenas
San Lorenzo,2020,1,1142.8375137203202,0.9954000697327715,3
San Lorenzo,2020,2,1174.3989289794922,0.995336516632762,2
San Lorenzo,2020,3,1198.635057006836,0.9941290251284634,4
San Lorenzo,2020,4,1279.8790058040604,0.9955907304410997,4
San Lorenzo,2020,5,1274.2992754127413,0.9476329095122416,4
San Lorenzo,2020,6,1406.088827799144,0.9955907304410997,3
San Lorenzo,2020,7,894.0761392150879,0.6314943261650958,4
San Lorenzo,2020,8,1255.016842263351,0.9955907304410997,4
San Lorenzo,2020,9,1023.9708060878139,0.9955907304410997,4
San Lorenzo,2020,10,760.3326502868653,0.9953365095586117,4
San Lorenzo,2020,11,291.37595278930667,0.6745489510178262,2
San Lorenzo,2020,12,586.3122414123535,0.6210318704794223,3
San Lorenzo,2021,1,771.3822075073242,0.957364452996669,3
San Lorenzo,2021,2,851.7538924865722,0.9955907304409959,4
San Lorenzo,2021,3,1255.935250938912,0.9820220370892898,3
San Lorenzo,2021,4,1440.1124157887657,0.9954318479565252,3
San Lorenzo,2021,5,1418.2008171974094,0.9955589538235147,3
San Lorenzo,2021,6,0,0,3
San Lorenzo,2021,7,1408.1381967566635,0.995558953261936,4
San Lorenzo,2021,8,1368.199312487793,0.9955271769796606,3
San Lorenzo,2021,9,1065.601412677002,0.9942560702077196,3
San Lorenzo,2021,10,1024.0805840759278,0.9955589539671744,4
San Lorenzo,2021,11,812.0129608825683,0.9949234080917748,4
San Lorenzo,2021,12,1.0692562133789063,0.299433999355459,3
San Lorenzo,2022,1,906.0171624023437,0.994605639675105,4
San Lorenzo,2022,2,0,0,1
San Lorenzo,2022,3,1165.7894899089738,0.9758868921039207,3
San Lorenzo,2022,4,1429.6870032277304,0.9955589542567742,3
San Lorenzo,2022,5,1441.1048682196165,0.9955589537648487,4
San Lorenzo,2022,6,1416.8639090797335,0.9955907304410997,4
San Lorenzo,2022,7,1404.909562036133,0.9955271772431405,3
San Lorenzo,2022,8,1375.3957933131558,0.9955907304410997,4
San Lorenzo,2022,9,1303.2426303588868,0.9955589544352604,4
San Lorenzo,2022,10,889.3563904846192,0.7310262613235735,4
San Lorenzo,2022,11,911.6312907897949,0.9954954006496026,4
San Lorenzo,2022,12,585.2425562011719,0.9938747510701315,4
San Lorenzo,2023,1,558.3328823791504,0.9955907304410997,4
San Lorenzo,2023,2,525.5419640258789,0.9949234135705359,3
San Lorenzo,2023,3,505.1737777843999,0.6215020976974645,4
San Lorenzo,2023,4,1363.0108216089586,0.9884407314032914,3
San Lorenzo,2023,5,0,0,3
San Lorenzo,2023,6,936.0409176391602,0.655626159120302,3
San Lorenzo,2023,7,696.6243677734375,0.4139910610131536,4
San Lorenzo,2023,8,0,0,3
San Lorenzo,2023,9,942.195195501709,0.6222879663389251,3
San Lorenzo,2023,10,822.3483570495605,0.9435098146276051,4
San Lorenzo,2023,11,817.5375360412597,0.9950822932971763,3
San Lorenzo,2023,12,633.1810658935547,0.9955907304410997,4
San Lorenzo,2024,1,893.2754047668457,0.9812813940473093,4
San Lorenzo,2024,2,1252.4393316785865,0.993461696090361,2
San Lorenzo,2024,3,1237.4855220214845,0.9954000689078167,4
San Lorenzo,2024,4,507.63400577392576,0.497097365117743,3
San Lorenzo,2024,5,1351.4473400207519,0.9955907304410997,4
San Lorenzo,2024,6,1366.2386570922852,0.9955907304410997,4
San Lorenzo,2024,7,1295.6685603637695,0.9955589536451322,3
San Lorenzo,2024,8,1066.3163399291993,0.9569282785347595,4
San Lorenzo,2024,9,940.7681522033691,0.9954954005908327,4
San Lorenzo,2024,10,524.4731910827637,0.9935252246963968,3
San Lorenzo,2024,11,346.88709908447265,0.9721708904646463,4
San Lorenzo,2024,12,373.8871419067383,0.9510643765296682,3
San Lorenzo,2025,1,866.3671259399414,0.9955907304409959,4
San Lorenzo,2025,2,0,0,3
San Lorenzo,2025,3,1163.5290487731934,0.6964421194711857,3
San Lorenzo,2025,4,1399.0290717956543,0.9955907304409959,4
San Lorenzo,2025,5,672.591906162636,0.7427735292170605,4
San Lorenzo,2025,6,0,0,3
San Lorenzo,2025,7,1362.871581408117,0.9797895559356649,4
San Lorenzo,2025,8,1242.1837527341836,0.9556644835366228,3
San Lorenzo,2025,9,840.528007421875,0.5942408591851136,4
San Lorenzo,2025,10,1195.3378919616698,0.9955271761177027,4
San Lorenzo,2025,11,1112.382511932373,0.9952094006115422,4
San Lorenzo,2025,12,1129.3120182434081,0.9951458468215311,4
San Lorenzo,2026,1,1044.752551989746,0.9546880678360141,3
San Lorenzo,2026,2,294.1330134765625,0.4884386762946215,4
San Lorenzo,2026,3,747.1348155761718,0.6137935536438216,4
San Lorenzo,2026,4,1413.4989336803962,0.995558954567933,3
San Lorenzo,2026,5,254.93197651367188,0.4271090876710318,4
San Lorenzo,2026,6,603.2431701599121,0.39275232297775675,2
San Lorenzo,2026,7,0,0,0
San Lorenzo,2026,8,0,0,0
San Lorenzo,2026,9,0,0,0
San Lorenzo,2026,10,0,0,0
San Lorenzo,2026,11,0,0,0
San Lorenzo,2026,12,0,0,0
